Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
226845,FOODS CO.  355,3625 Northgate Blvd,,Sacramento,CA,95834,1600,SACRAMENTO,Super Store,38.631283,-121.47561,,,-13522603.04900229,4668992.804443722
228485,Circle K 2728768,8876 Vintage Park Dr,Ste 119,Sacramento,CA,95828,5892,SACRAMENTO,Convenience Store,38.465374,-121.37322,,,-13511205.04633997,4645377.759827659
232914,Save Mart 623,9137 Kiefer Blvd,,Sacramento,CA,95826,5105,SACRAMENTO,Supermarket,38.547325,-121.36072,,,-13509813.552705051,4657035.636849209
237101,ORBIT STATION,4716 Auburn Blvd,,Sacramento,CA,95841,3631,SACRAMENTO,Convenience Store,38.654068,-121.35417,,,-13509084.410040356,4672240.2233527815
240398,Elder Creek Market,7025 Elder Creek Rd,,Sacramento,CA,95824,4361,SACRAMENTO,Convenience Store,38.51059,-121.42208,,,-13516644.116660126,4651808.286769911
248716,RED SEA FOOD MARKET,6968 65th St,Ste H,Sacramento,CA,95823,2334,SACRAMENTO,Grocery Store,38.500435,-121.43797,,,-13518412.983368834,4650363.712052028
251295,FOODS CO  371,8122 Gerber Rd,,Sacramento,CA,95828,4402,SACRAMENTO,Super Store,38.481617,-121.40793,,,-13515068.9458654,4647687.34169315
263978,QUIK STOP MARKET 9139,1295 Fulton Ave,,Sacramento,CA,95825,7313,SACRAMENTO,Convenience Store,38.588581,-121.40156,,,-13514359.840709051,4662909.504931323
269431,Eastern AM/PM Mini Market,4224 Marconi Ave,,Sacramento,CA,95821,4255,SACRAMENTO,Convenience Store,38.617302,-121.365,,,-13510290.000125648,4667000.68145921
274143,Walmart 2598,3661 Truxel Rd,,Sacramento,CA,95834,3617,SACRAMENTO,Super Store,38.63586,-121.50546,,,-13525925.93580247,4669645.055852108
277288,GOLDSTAR SUPERMARKET,5815 Stockton Blvd,,Sacramento,CA,95824,3051,SACRAMENTO,Other,38.520664,-121.44054,,,-13518699.074460171,4653241.5403492255
279606,CIRCLE CK,5219 Elkhorn Blvd,,Sacramento,CA,95842,2506,SACRAMENTO,Convenience Store,38.688309,-121.34244,,,-13507778.63241335,4677122.345176373
282265,SMART & FINAL 404,4820 Madison Ave,,Sacramento,CA,95841,2519,SACRAMENTO,Super Store,38.660843,-121.35143,,,-13508779.39463558,4673206.02550526
284008,BEL AIR  510,1540 W El Camino Ave,,Sacramento,CA,95833,1946,SACRAMENTO,Supermarket,38.61274,-121.49655,,,-13524934.0791395,4666350.735798447
286964,Mad Butcher Meat Co.,6480 Florin Perkins Rd,,Sacramento,CA,95828,1814,SACRAMENTO,Specialty Store,38.509174,-121.39124,,,-13513211.023564061,4651606.844926772
288393,TEREMOK,5519 Hemlock St,,Sacramento,CA,95841,2709,SACRAMENTO,Grocery Store,38.666149,-121.34131,,,-13507652.841388755,4673962.479890176
297652,BEL AIR  506,1301 Florin Rd,,Sacramento,CA,95831,3618,SACRAMENTO,Supermarket,38.495678,-121.51001,,,-13526432.439485578,4649687.0866858065
303370,ERNIE'S LIQUOR & DELI,5735 Hillsdale Blvd,,Sacramento,CA,95842,3003,SACRAMENTO,Convenience Store,38.672165,-121.35722,,,-13509423.934487276,4674820.223838094
307762,LA Superior Northgate Inc. 1,2210 Northgate Blvd,,Sacramento,CA,95833,2505,SACRAMENTO,Supermarket,38.607342,-121.47555,,,-13522596.369832845,4665581.739054646
312573,BEL AIR  501,6231 Fruitridge Rd,,Sacramento,CA,95820,5844,SACRAMENTO,Supermarket,38.525101,-121.43187,,,-13517733.934474992,4653872.867245644
313986,Walgreens 6613,1401 Broadway,,Sacramento,CA,95818,2219,SACRAMENTO,Other,38.562138,-121.49424,,,-13524676.931115769,4659144.265887048
319913,B&W LIQUORS OR BOTTLE SHOP,1810 Del Paso Blvd,,Sacramento,CA,95815,3041,SACRAMENTO,Convenience Store,38.608105,-121.45486,,,-13520293.169568332,4665690.432193549
325261,Walgreens 5374,2900 Stockton Blvd,,Sacramento,CA,95817,2302,SACRAMENTO,Other,38.54792,-121.45432,,,-13520233.057043301,4657120.3266638005
328526,7-ELEVEN 26598 C,5579 Mack Rd,,Sacramento,CA,95823,4669,SACRAMENTO,Convenience Store,38.474377,-121.43624,,,-13518220.40064976,4646657.826411577
336296,7-ELEVEN (GILL) 23226 B,3405 Bradshaw Rd,,Sacramento,CA,95827,3327,SACRAMENTO,Convenience Store,38.561871,-121.33602,,,-13507063.961282458,4659106.254618675
337843,Circle K 2721057,5555 Hemlock St,,Sacramento,CA,95841,2709,SACRAMENTO,Convenience Store,38.66713,-121.34129,,,-13507650.614998939,4674102.343125941
338023,SAFEWAY 2684,1814 19th St,,Sacramento,CA,95811,6713,SACRAMENTO,Supermarket,38.568165,-121.48512,,,-13523661.697359733,4660002.333103548
340747,MI RANCHO,2355 Florin Rd,,Sacramento,CA,95822,4402,SACRAMENTO,Super Store,38.495869,-121.48352,,,-13523483.586174466,4649714.253250718
341811,Chhun Supermarket,6701 Franklin Blvd,,Sacramento,CA,95823,1028,SACRAMENTO,Grocery Store,38.504715,-121.46392,,,-13521301.724154918,4650972.528162775
344172,STOP & SHOP,2533 Edison Ave,,Sacramento,CA,95821,2327,SACRAMENTO,Convenience Store,38.626678,-121.40243,,,-13514456.688666038,4668336.604880903
354817,Walmart 2735,6051 Florin Rd,,Sacramento,CA,95823,    ,SACRAMENTO,Super Store,38.498775,-121.43377,,,-13517945.4415075,4650127.592175465
360159,RC FOOD MART,2847 Bradshaw Rd,,Sacramento,CA,95827,1339,SACRAMENTO,Convenience Store,38.574066,-121.33619,,,-13507082.885595893,4660842.531366422
361683,AMERICAN WAY MARKET,401 W El Camino Ave,,Sacramento,CA,95833,2202,SACRAMENTO,Grocery Store,38.611248,-121.47199,,,-13522200.07244562,4666138.1803383455
362205,PARK N SAVE MARKET & LIQUOR,3041 Rio Linda Blvd,,Sacramento,CA,95815,1233,SACRAMENTO,Convenience Store,38.62289,-121.4462,,,-13519329.142778061,4667796.8571127
363195,FRANK'S QUALITY MEATS INC,6580 Belleau Wood Ln,,Sacramento,CA,95822,5910,SACRAMENTO,Other,38.507561,-121.50462,,,-13525832.427430203,4651377.382455717
365107,Red Star International Groceries,7245 East Pkwy,,Sacramento,CA,95823,3131,SACRAMENTO,Grocery Store,38.494751,-121.44984,,,-13519734.34572455,4649555.237417386
365681,SAFEWAY  1530,3320 Arden Way,,Sacramento,CA,95825,2017,SACRAMENTO,Supermarket,38.595795,-121.38631,,,-13512662.218474451,4663936.952638544
372579,SMART & FINAL 806,5128 Stockton Blvd,,Sacramento,CA,95820,5410,SACRAMENTO,Super Store,38.528442,-121.44573,,,-13519276.822617386,4654348.273408778
380627,Peace Market,1801 O St,,Sacramento,CA,95811,6106,SACRAMENTO,Convenience Store,38.572033,-121.4847,,,-13523614.943173602,4660553.060251588
394081,Kings Supermarket,400 El Camino Ave,,Sacramento,CA,95815,2937,SACRAMENTO,Grocery Store,38.611088,-121.45729,,,-13520563.675930958,4666115.386449563
399113,OAK PARK MARKET,3300 12th Ave,,Sacramento,CA,95817,3545,SACRAMENTO,Convenience Store,38.541176,-121.4708,,,-13522067.602251576,4656160.454912244
401909,LA ESPERANZA BAKERY,5044 Franklin Blvd,,Sacramento,CA,95820,4732,SACRAMENTO,Other,38.529186,-121.47294,,,-13522305.825961873,4654454.143574886
405786,SKY PARKWAY MARKET,5530 Sky Pkwy,,Sacramento,CA,95823,2268,SACRAMENTO,Convenience Store,38.502354,-121.43677,,,-13518279.39997988,4650636.679100491
411437,DISCOUNT LIQUOR & FOODS,7725 Stockton Blvd,Ste F,Sacramento,CA,95823,4300,SACRAMENTO,Convenience Store,38.476276,-121.41985,,,-13516395.874195658,4646927.85087241
412823,99 CENTS ONLY STORES  183,2351 Northgate Blvd,,Sacramento,CA,95833,2504,SACRAMENTO,Other,38.609249,-121.47562,,,-13522604.1621972,4665853.402840096
415234,FOOD MAXX  464,3860 Florin Rd,,Sacramento,CA,95823,1816,SACRAMENTO,Supermarket,38.495975,-121.46063,,,-13520935.483030207,4649729.330014158
420625,WING WA SUPERMARKET,6021 Stockton Blvd,,Sacramento,CA,95824,1534,SACRAMENTO,Supermarket,38.516884,-121.43882,,,-13518507.604936007,4652703.726634213
421705,SERVO GAS & FOOD,2400 Fruitridge Rd,,Sacramento,CA,95822,2244,SACRAMENTO,Convenience Store,38.524742,-121.48273,,,-13523395.643776739,4653821.784807729
426399,7-ELEVEN 29253 C,5581 Hillsdale Blvd,,Sacramento,CA,95842,4262,SACRAMENTO,Convenience Store,38.669834,-121.36104,,,-13509849.174942106,4674487.868020728
427894,SUNLAND LIQUORS,2000 Del Paso Blvd,,Sacramento,CA,95815,3022,SACRAMENTO,Convenience Store,38.609016,-121.45298,,,-13520083.88892564,4665820.21018126
431143,Nugget Market 5,1040 Florin Rd,,Sacramento,CA,95831,3513,SACRAMENTO,Supermarket,38.495472,-121.52153,,,-13527714.840019517,4649657.786701765
454425,99 CENTS ONLY STORES  175,2224 El Camino Ave,,Sacramento,CA,95821,4602,SACRAMENTO,Other,38.610794,-121.41344,,,-13515682.316259673,4666073.502811444
458008,A & A SUPERMARKET,6545 Stockton Blvd,,Sacramento,CA,95823,1606,SACRAMENTO,Super Store,38.507256,-121.43433,,,-13518007.780422345,4651333.994283595
460776,Family Market,4310 73rd St,,Sacramento,CA,95820,3527,SACRAMENTO,Convenience Store,38.53577,-121.41906,,,-13516307.931797931,4655391.085337409
461170,SMILE FOOD MARKET,2948 Bradshaw Rd,,Sacramento,CA,95827,1602,SACRAMENTO,Other,38.571178,-121.33659,,,-13507127.41339221,4660431.322509955
462234,Jk Food And Liquor And Wine,8321 Folsom Blvd,,Sacramento,CA,95826,3513,SACRAMENTO,Convenience Store,38.547108,-121.39937,,,-13514116.051024212,4657004.750150039
466260,RALEY'S  420,8391 Folsom Blvd,,Sacramento,CA,95826,3538,SACRAMENTO,Supermarket,38.547287,-121.39333,,,-13513443.681299822,4657030.228111745
470978,QUIK STOP MARKET 4111,3920 Fruitridge Rd,,Sacramento,CA,95820,6415,SACRAMENTO,Convenience Store,38.524914,-121.46191,,,-13521077.971978422,4653846.258813039
471829,RALEY'S  416,3518 Marconi Ave,,Sacramento,CA,95821,5302,SACRAMENTO,Supermarket,38.617744,-121.38083,,,-13512052.187664906,4667063.655155458
476296,Save Mart 625,2501 Fair Oaks Blvd,,Sacramento,CA,95825,7685,SACRAMENTO,Supermarket,38.574368,-121.40309,,,-13514530.159529964,4660885.532693212
479227,VINH PHAT MARKET,6105 Stockton Blvd,,Sacramento,CA,95824,4010,SACRAMENTO,Super Store,38.515686,-121.43823,,,-13518441.92643644,4652533.282572544
481109,Pothong Market,3540 Norwood Ave,,Sacramento,CA,95838,4208,SACRAMENTO,Grocery Store,38.63147,-121.45689,,,-13520519.14813464,4669019.452308881
486994,Stop and Shop,4321 Madison Ave,Ste E,Sacramento,CA,95842,3502,SACRAMENTO,Convenience Store,38.66116,-121.36326,,,-13510096.304211667,4673251.217304579
487498,SAFEWAY  2242,1025 Alhambra Blvd,,Sacramento,CA,95816,5212,SACRAMENTO,Supermarket,38.571869,-121.4656,,,-13521488.740899451,4660529.709274233
493416,BEL AIR  502,4320 Arden Way,,Sacramento,CA,95864,3103,SACRAMENTO,Supermarket,38.595543,-121.36341,,,-13510113.002135286,4663901.060016299
518232,Seafood City Supermarket,6051 Mack Rd,,Sacramento,CA,95823,4699,SACRAMENTO,Supermarket,38.474327,-121.4315,,,-13517692.7462634,4646650.716858893
520990,CARNICERIA LOPEZ,5550 Franklin Blvd,Ste 100,Sacramento,CA,95820,4700,SACRAMENTO,Grocery Store,38.525669,-121.47202,,,-13522203.412030343,4653953.689005002
523204,Save Mart 622,5600 Folsom Blvd,,Sacramento,CA,95819,4606,SACRAMENTO,Supermarket,38.558395,-121.43803,,,-13518419.662538279,4658611.409193549
531866,Petrostar oil Co,2399 Florin Rd,,Sacramento,CA,95822,4402,SACRAMENTO,Convenience Store,38.496098,-121.48317,,,-13523444.624352686,4649746.824776895
539082,CHOICE FOOD MARKET,2103 P St,,Sacramento,CA,95816,6110,SACRAMENTO,Convenience Store,38.569756,-121.48135,,,-13523242.022879446,4660228.856632161
542576,SAFEWAY 190,424 Howe Ave,,Sacramento,CA,95825,5507,SACRAMENTO,Supermarket,38.572502,-121.41386,,,-13515729.070445806,4660619.838645642
547241,7-ELEVEN (SINGH) 24147 C,5080 Auburn Blvd,,Sacramento,CA,95841,2649,SACRAMENTO,Convenience Store,38.661366,-121.34619,,,-13508196.080503825,4673280.584953326
554916,99 CENTS ONLY STORES 168,4319 Elkhorn Blvd,,Sacramento,CA,95842,3772,SACRAMENTO,Other,38.694569,-121.36275,,,-13510039.531271365,4678015.155869002
562274,B & L CASH MARKET,3025 Academy Way,,Sacramento,CA,95815,1540,SACRAMENTO,Convenience Store,38.622101,-121.42544,,,-13517018.15014919,4667684.436996804
567933,SAFEWAY  2263,5345 Elkhorn Blvd,,Sacramento,CA,95842,2526,SACRAMENTO,Supermarket,38.685566,-121.34033,,,-13507543.748287776,4676731.15897104
570931,MAK'S QUICK CORNER,1101 Broadway,,Sacramento,CA,95818,2215,SACRAMENTO,Convenience Store,38.563198,-121.49818,,,-13525115.529909495,4659295.173439295
585678,India Market,5203 Elkhorn Blvd,,Sacramento,CA,95842,2506,SACRAMENTO,Grocery Store,38.687794,-121.34362,,,-13507909.989412487,4677048.898573225
586412,Walgreens 4170,4200 Arden Way,,Sacramento,CA,95864,3021,SACRAMENTO,Other,38.595562,-121.36556,,,-13510352.339040492,4663903.766201679
587412,Special Food Market,4614 Martin Luther King Jr Blvd,,Sacramento,CA,95820,2733,SACRAMENTO,Convenience Store,38.532963,-121.465,,,-13521421.949204974,4654991.622311674
594836,Save Mart 619,7960 Gerber Rd,,Sacramento,CA,95828,4352,SACRAMENTO,Supermarket,38.481632,-121.40986,,,-13515283.792482631,4647689.474774138
602228,Walgreens 4136,1919 Fruitridge Rd,,Sacramento,CA,95822,3114,SACRAMENTO,Other,38.524769,-121.49551,,,-13524818.306869078,4653825.626653529
606049,Trader Joe's 175,5000 Folsom Blvd,,Sacramento,CA,95819,4441,SACRAMENTO,Supermarket,38.560944,-121.44461,,,-13519152.144787697,4658974.284007843
626728,Whole Foods Market 10152,4315 Arden Way,,Sacramento,CA,95864,3102,SACRAMENTO,Super Store,38.595612,-121.36298,,,-13510065.134754242,4663910.887745579
629812,Quick Trip Market 2,6945 Stockton Blvd,Ste A,Sacramento,CA,95823,2335,SACRAMENTO,Convenience Store,38.498795,-121.43034,,,-13517563.61565408,4650130.43696087
637635,Bimbo Bakeries 1473,7601 Wilbur Way,,Sacramento,CA,95828,4927,SACRAMENTO,Specialty Store,38.48151,-121.39748,,,-13513905.657186614,4647672.125728306
644959,FOODS CO  501,5330 Stockton Blvd,,Sacramento,CA,95820,5412,SACRAMENTO,Super Store,38.526318,-121.44324,,,-13518999.637085315,4654046.037183433
655392,SACRAMENTO SHELL,5551 Martin Luther King Jr Blvd,,Sacramento,CA,95820,6402,SACRAMENTO,Convenience Store,38.525314,-121.46424,,,-13521337.34639197,4653903.175330649
655770,Chimas Food & Liquor,1530 Auburn Blvd,,Sacramento,CA,95815,1905,SACRAMENTO,Convenience Store,38.61385,-121.43167,,,-13517711.670576833,4666508.873090267
658350,Trader Joe's 70,2625 Marconi Ave,,Sacramento,CA,95821,5105,SACRAMENTO,Supermarket,38.618065,-121.40091,,,-13514287.483040033,4667109.389689419
666803,Speed Bird 2,5000 Fruitridge Rd,,Sacramento,CA,95820,5301,SACRAMENTO,Convenience Store,38.524933,-121.44728,,,-13519449.367828118,4653848.962340468
669460,Walgreens 5036,4495 Mack Rd,,Sacramento,CA,95823,4545,SACRAMENTO,Other,38.474426,-121.45065,,,-13519824.51451209,4646664.793777992
669849,BEL AIR  514,7465 Rush River Dr,,Sacramento,CA,95831,5255,SACRAMENTO,Supermarket,38.485664,-121.53588,,,-13529312.274712402,4648262.863041772
674626,SF Supermarket,6930 65th St,Ste 123,Sacramento,CA,95823,2342,SACRAMENTO,Super Store,38.500278,-121.43503,,,-13518085.704065898,4650341.379999388
675892,RALEY'S  447,4650 Natomas Blvd,,Sacramento,CA,95835,1217,SACRAMENTO,Supermarket,38.657349,-121.51189,,,-13526641.72012827,4672707.931038884
677448,PS MARKET,2800 T St,,Sacramento,CA,95816,7326,SACRAMENTO,Convenience Store,38.562698,-121.47375,,,-13522395.994749414,4659223.990354305
679456,Discount Liqour,5225 Elkhorn Blvd,,Sacramento,CA,95842,2506,SACRAMENTO,Convenience Store,38.688309,-121.34244,,,-13507778.63241335,4677122.345176373
685842,SMART & FINAL 405,2431 28th St,,Sacramento,CA,95818,2700,SACRAMENTO,Super Store,38.557476,-121.47554,,,-13522595.256637935,4658480.583807314
686218,7-Eleven Inc - 7 Eleven  33315A,5501 Auburn Blvd,,Sacramento,CA,95841,2901,SACRAMENTO,Convenience Store,38.668575,-121.33596,,,-13507057.282113012,4674308.363308991
686946,CITY LIQUOR & FOOD,7595 Franklin Blvd,,Sacramento,CA,95823,3607,SACRAMENTO,Convenience Store,38.481922,-121.45284,,,-13520068.304196926,4647730.7144271815
697159,SAFEWAY 2697,2851 Del Paso Rd,,Sacramento,CA,95835,2304,SACRAMENTO,Supermarket,38.656029,-121.52388,,,-13527976.44082288,4672519.762006108
699856,Bing's Market,4775 Rio Linda Blvd,,Sacramento,CA,95838,2224,SACRAMENTO,Grocery Store,38.653912,-121.44778,,,-13519505.027573515,4672217.986032262
700396,WELCO SUPERMARKET,7100 Fruitridge Rd,,Sacramento,CA,95820,5942,SACRAMENTO,Super Store,38.525074,-121.42112,,,-13516537.249948965,4653869.02538212
706011,CHIMA LIQUOR STORE,5049 Franklin Blvd,,Sacramento,CA,95820,4731,SACRAMENTO,Convenience Store,38.529022,-121.47276,,,-13522285.78845353,4654430.806508733
713879,Mission Liquor & Food,4654 Whitney Ave,,Sacramento,CA,95821,4172,SACRAMENTO,Convenience Store,38.628304,-121.35602,,,-13509290.351098323,4668568.300499469
714483,SAFEWAY  1289,8377 Elk Grove Florin Rd,,Sacramento,CA,95829,9453,SACRAMENTO,Supermarket,38.453491,-121.37157,,,-13511021.36918016,4643688.453052201
715166,T&Y MARKET,2835 Norwood Ave,,Sacramento,CA,95815,1150,SACRAMENTO,Other,38.619469,-121.457,,,-13520531.393278627,4667309.427252743
