MANUAL_FORMAT,IS_ETHNIC,CONFIDENCE,NOTES,name,address,category,alternate_categories,brand_name,streetview_url,id,brand_id,website,phone,source_count,latitude,longitude
,,,,Xle Wireless Inc.,1701 Truman St,mobile_phone_store,['automotive_parts_and_accessories' 'grocery_store'],Simple Mobile Authorized Retailers,"https://www.google.com/maps/@34.290627,-118.4482896,3a,75y,0h,90t/data=!3m4!1e1!3m2",d2ec4cbb-b962-447d-80ed-55e92ef97ae3,,https://tracfone.authretailers.com/xle-wireless-inc-ce83c9be4826,+17472402121,2,34.290627,-118.4482896
,,,,Walgreens,9180 Franklin Blvd,pharmacy,['supermarket' 'cosmetic_and_beauty_supplies'],Walgreens,"https://www.google.com/maps/@38.4241284,-121.4485032,3a,75y,0h,90t/data=!3m4!1e1!3m2",30a17454-eec0-41a2-82e5-217a15e12c89,,https://www.walgreens.com/locator/walgreens-9180+franklin+blvd-elk+grove-ca-95758/id=6419,+19164273739,2,38.4241284,-121.4485032
,,,,Shell,430 Noble Ave,gas_station,['convenience_store' 'energy_company'],Shell,"https://www.google.com/maps/@36.325699,-119.209671,3a,75y,0h,90t/data=!3m4!1e1!3m2",cc0c084e-60a2-4981-8c49-2d228f9b48c8,,https://find.shell.com/us/fuel/10014078-430-noble-ave,+15596367690,2,36.325699,-119.209671
,,,,You Buy We Fry Fish Market,268 E South St,grocery_store,['health_food_store' 'shopping'],,"https://www.google.com/maps/@33.86003,-118.18999,3a,75y,0h,90t/data=!3m4!1e1!3m2",afa52962-5ec0-4ea7-a14c-d547350dcc10,,,+15624229695,2,33.86003,-118.18999
,,,,Jet Food and Liquor,43535 Gadsden Ave,convenience_store,['supermarket' 'grocery_store'],,"https://www.google.com/maps/@34.6746312,-118.1439447,3a,75y,0h,90t/data=!3m4!1e1!3m2",b5921300-1736-459c-8e4c-3a750ca78c21,,,+16619490107,2,34.6746312,-118.1439447
,,,,"Hummus Heaven Monterey, San Benito, Santa Cruz counties",1750 Doolittle Dr,grocery_store,['food_stand' 'farmers_market'],,"https://www.google.com/maps/@37.70864,-122.18224,3a,75y,0h,90t/data=!3m4!1e1!3m2",b1fe4e8e-da09-4b4f-9148-a0a357d50762,,,,2,37.70864,-122.18224
,,,,Srishivasai Indian Supermarket,2410 San Ramon Valley Blvd,supermarket,['grocery_store' 'specialty_grocery_store'],,"https://www.google.com/maps/@37.7755496,-121.9763288,3a,75y,0h,90t/data=!3m4!1e1!3m2",9815a68a-dbb2-4037-84de-72ca0ad5ec64,,http://srishivasaigrocery.com/,+19258778777,2,37.7755496,-121.9763288
,,,,Raspados Playas Mexicali BC,Cataratas del Niagara esquina con Islas Bahamas Fraccionamiento Santa Monica,ice_cream_shop,['grocery_store' 'desserts'],,"https://www.google.com/maps/@32.619934,-115.4885395,3a,75y,0h,90t/data=!3m4!1e1!3m2",2bc80672-607a-4baf-830c-79e596645b90,,,+526861761226,2,32.619934,-115.4885395
,,,,Ralphs Market,801 Lincoln Ave,grocery_store,['supermarket' 'convenience_store'],,"https://www.google.com/maps/@37.77542,-122.27244,3a,75y,0h,90t/data=!3m4!1e1!3m2",ca08d75a-4513-4ebc-8fc6-c8760837b060,,,+15105234747,2,37.77542,-122.27244
,,,,Fast & Easy Mart,5321 Old Redwood Hwy,gas_station,['grocery_store' 'convenience_store'],,"https://www.google.com/maps/@38.5127375,-122.765941,3a,75y,0h,90t/data=!3m4!1e1!3m2",6e019d67-4531-49d6-b535-9183133bf7c8,,https://fast-easy-mart-ca-7.hub.biz,+17075757164,2,38.5127375,-122.765941
,,,,Plaza Liquors,2420 W Turner Rd,liquor_store,['convenience_store' 'eat_and_drink'],,"https://www.google.com/maps/@38.1452869,-121.3050547,3a,75y,0h,90t/data=!3m4!1e1!3m2",a53ad2fc-f329-4025-bd08-e6dbbeebc7f8,,http://www.shell.com,+12093691960,2,38.1452869,-121.3050547
,,,,Seaside Services,231 Windsor Way,convenience_store,['specialty_grocery_store' 'restaurant'],,"https://www.google.com/maps/@33.7517621,-118.1886117,3a,75y,0h,90t/data=!3m4!1e1!3m2",972e41bc-18d3-4bb1-8b3e-be1568d19ba4,,,+18182205955,2,33.7517621,-118.1886117
,,,,Raley's,1040 Emerald Bay Rd,grocery_store,['supermarket'],,"https://www.google.com/maps/@38.9118361,-120.0056758,3a,75y,0h,90t/data=!3m4!1e1!3m2",88f8b3e4-1841-42c1-8c52-b87a6c691d49,,,+15305415160,2,38.9118361,-120.0056758
,,,,7-11 Str   7022 Stockton Ave,7022 STOCKTON AVE,convenience_store,,7-Eleven,"https://www.google.com/maps/@37.9102398,-122.2995323,3a,75y,0h,90t/data=!3m4!1e1!3m2",03734264-87a6-4d49-9cc3-490c4e28278e,Q259340,https://www.7-eleven.com/locations/ca/el-cerrito/7022-stockton-ave-14192,,2,37.9102398,-122.2995323
,,,,Panaderia La Estrellita,Calle Cócorit 3701,bakery,['grocery_store'],,"https://www.google.com/maps/@32.6510677,-115.5399105,3a,75y,0h,90t/data=!3m4!1e1!3m2",32db87fd-fa27-4ba8-9503-d816b8a60597,,,+526863330535,2,32.6510677,-115.5399105
,,,,Purificadora de la Baja,Avenida Mutualismo 7707,grocery_store,,,"https://www.google.com/maps/@32.53248,-117.04333,3a,75y,0h,90t/data=!3m4!1e1!3m2",97658085-fc72-479b-96a6-24885def2345,,,+6644212059,2,32.53248,-117.04333
,,,,7-Eleven,700 State St,convenience_store,['grocery_store' 'gas_station'],7-Eleven,"https://www.google.com/maps/@34.4189027,-119.6980807,3a,75y,0h,90t/data=!3m4!1e1!3m2",c48fe128-5fca-4e7f-be28-84cc2a01adbf,,https://www.7-eleven.com/locations/ca/santa-barbara/700-state-st-38318,+18055706584,2,34.4189027,-119.6980807
,,,,Von's Express Grocery Store,117 Catalina Ave,grocery_store,['shopping' 'delicatessen'],,"https://www.google.com/maps/@33.343016,-118.325792,3a,75y,0h,90t/data=!3m4!1e1!3m2",55f90091-ec70-456e-a482-42d2a60dbdc0,,,+13105107397,2,33.343016,-118.325792
,,,,7-Eleven,1560 E Grand Ave,convenience_store,['grocery_store' 'discount_store'],7-Eleven,"https://www.google.com/maps/@33.1306313,-117.0582121,3a,75y,0h,90t/data=!3m4!1e1!3m2",367d3df3-123f-40e5-a4fe-2c68db5eab50,,https://www.7-eleven.com/locations/ca/escondido/1560-east-grand-13629,+17607434077,2,33.1306313,-117.0582121
,,,,7-Eleven,5380 Lindhurst Ave,convenience_store,['grocery_store' 'supermarket'],7-Eleven,"https://www.google.com/maps/@39.1096267,-121.5553016,3a,75y,0h,90t/data=!3m4!1e1!3m2",8f2204b4-0c82-47a3-b05e-46bb0cb55498,,https://www.7-eleven.com/locations/ca/marysville/5380-lindhurst-ave-39258,+15307498096,2,39.1096267,-121.5553016
,,,,Produce Market,2109 S Marina Dr,grocery_store,['supermarket' 'bakery'],,"https://www.google.com/maps/@33.280348,-115.961605,3a,75y,0h,90t/data=!3m4!1e1!3m2",51927c3b-7132-476c-b43d-5f14a504d1f4,,,+17606001180,2,33.280348,-115.961605
,,,,7-Eleven,9205 Twin Trails Dr,convenience_store,['grocery_store' 'shopping'],7-Eleven,"https://www.google.com/maps/@32.9568301,-117.128518,3a,75y,0h,90t/data=!3m4!1e1!3m2",d956fcff-e245-4a54-bb67-5da3b60dde77,,http://www.7-eleven.com/,+18585388409,2,32.9568301,-117.128518
,,,,Grocery Outlet,"3499 St. Rose Parkway, Suite 120",supermarket,['superstore'],Grocery Outlet,"https://www.google.com/maps/@35.98708,-115.14048,3a,75y,0h,90t/data=!3m4!1e1!3m2",21e87a9c-3ac5-4894-b42e-97ac83c6355a,Q5609934,,,2,35.98708,-115.14048
,,,,Gracebank Creations,1503 W Martin Luther King Jr Blvd,convenience_store,,,"https://www.google.com/maps/@34.011,-118.3037,3a,75y,0h,90t/data=!3m4!1e1!3m2",59716614-b217-4681-b1c1-34fe2bf21312,,http://www.jbcyum.com/,+13232981310,2,34.011,-118.3037
,,,,Vons,311 W Los Feliz Rd,grocery_store,['supermarket' 'organic_grocery_store'],Albertsons,"https://www.google.com/maps/@34.1291816,-118.2585995,3a,75y,0h,90t/data=!3m4!1e1!3m2",7908b5f5-fe38-42d8-aacb-655b5a5cc899,,https://local.vons.com/ca/glendale/311-w-los-feliz-blvd.html,+18182467161,2,34.1291816,-118.2585995
,,,,Am Pm Gas,6599 Citrus Ave,gas_station,['convenience_store' 'automotive'],,"https://www.google.com/maps/@34.1342388,-117.453065,3a,75y,0h,90t/data=!3m4!1e1!3m2",6c8a6c53-9726-464c-8993-fcfd42b279da,,www.ampm.com,,2,34.1342388,-117.453065
,,,,Smart & Final,3400 White Ln,grocery_store,['wholesale_store' 'supermarket'],Smart & Final,"https://www.google.com/maps/@35.3181442,-119.0409091,3a,75y,0h,90t/data=!3m4!1e1!3m2",34e58206-560c-44d0-97f6-dc04987a197b,,http://www.smartandfinal.com/store,+16618324540,2,35.3181442,-119.0409091
,,,,Shell,341 N Vermont Ave,gas_station,['convenience_store' 'energy_company'],Shell,"https://www.google.com/maps/@34.0774425,-118.2919332,3a,75y,0h,90t/data=!3m4!1e1!3m2",741e531f-b2f2-4bce-b9ec-bccc1799c3ad,,https://find.shell.com/us/fuel/10008001-341-n-vermont-ave,+13236662250,2,34.0774425,-118.2919332
,,,,El Toro Rojo,101 W El Portal,grocery_store,['mexican_restaurant' 'texmex_restaurant'],,"https://www.google.com/maps/@33.430423,-117.621627,3a,75y,0h,90t/data=!3m4!1e1!3m2",5ef1d7e7-918e-4a65-aba4-e770c515c652,,,+19493692605,2,33.430423,-117.621627
,,,,El Rey Market,177 Southwest Blvd,grocery_store,['supermarket' 'shopping'],,"https://www.google.com/maps/@38.3358264,-122.7071184,3a,75y,0h,90t/data=!3m4!1e1!3m2",ba7ec3a5-f9e7-4398-a4ef-c23a7b6de128,,,+17079920311,2,38.3358264,-122.7071184
,,,,Huntington Park,7000 S. Alameda St.,supermarket,['superstore'],El Super,"https://www.google.com/maps/@33.975785,-118.234925,3a,75y,0h,90t/data=!3m4!1e1!3m2",82efc15c-418b-454f-816b-c67018fa8fe6,Q124810916,https://elsupermarkets.com/store/huntington-park/,,2,33.975785,-118.234925
,,,,7-Eleven,2005 Marconi Ave,convenience_store,['grocery_store' 'supermarket'],7-Eleven,"https://www.google.com/maps/@38.6200838,-121.4188016,3a,75y,0h,90t/data=!3m4!1e1!3m2",4e4da306-7ec7-4214-8a92-5c0849641641,,https://www.7-eleven.com/locations/ca/sacramento/2005-marconi-ave-34492,+19169246712,2,38.6200838,-121.4188016
,,,,Sinaloa Market,601 Atlantic Ave,butcher_shop,['grocery_store' 'supermarket'],,"https://www.google.com/maps/@33.7742519,-118.1851509,3a,75y,0h,90t/data=!3m4!1e1!3m2",024a8a64-8fc3-44fb-b68e-ee6275eb68e8,,https://sinaloa-market-ca.hub.biz,+15625903999,2,33.7742519,-118.1851509
,,,,7-Eleven,4885 S Jones Blvd,convenience_store,['grocery_store' 'supermarket'],7-Eleven,"https://www.google.com/maps/@36.1002472,-115.2257267,3a,75y,0h,90t/data=!3m4!1e1!3m2",44ac22c2-a77c-475a-9342-51d2bf720548,,https://www.7-eleven.com/locations/nv/las-vegas/4885-s-jones-blvd-27327,+17028719645,2,36.1002472,-115.2257267
,,,,Distribuidora Welton,,grocery_store,['convenience_store'],,"https://www.google.com/maps/@32.5740288,-115.3427189,3a,75y,0h,90t/data=!3m4!1e1!3m2",f79c0fea-edac-4506-9ad2-cc388a43d7b9,,,+526865340265,2,32.5740288,-115.3427189
,,,,Sylvia's Market,68800 Pierce St,grocery_store,['supermarket' 'shopping'],,"https://www.google.com/maps/@33.548858,-116.112638,3a,75y,0h,90t/data=!3m4!1e1!3m2",df915327-bd21-4f0b-8534-6242b0b5c56a,,,+17603971050,2,33.548858,-116.112638
,,,,Abarrotes Islas,Avenida La Purísima 2400,grocery_store,['convenience_store' 'supermarket'],,"https://www.google.com/maps/@32.6536629,-115.5159814,3a,75y,0h,90t/data=!3m4!1e1!3m2",0e0482e1-7607-4393-9091-1d048f1447d6,,,,2,32.6536629,-115.5159814
